product,name,size,qty
chocoLogo,01 шорты,S,0
chocoLogo,01 шорты,M,0
chocoLogo,01 шорты,L,0
chocoLogo,01 шорты,XL,1
beigeFlower,02 шорты,S,1
beigeFlower,02 шорты,M,1
beigeFlower,02 шорты,L,0
beigeFlower,02 шорты,XL,0
blackBronze,03 шорты,S,0
blackBronze,03 шорты,M,0
blackBronze,03 шорты,L,0
blackBronze,03 шорты,XL,1
redGrid,04 шорты,S,0
redGrid,04 шорты,M,1
redGrid,04 шорты,L,1
redGrid,04 шорты,XL,0
blackLines,05 шорты,S,0
blackLines,05 шорты,M,0
blackLines,05 шорты,L,1
blackLines,05 шорты,XL,1
houndstooth,06 шорты,S,0
houndstooth,06 шорты,M,1
houndstooth,06 шорты,L,0
houndstooth,06 шорты,XL,1
shorts07,07 шорты,S,0
shorts07,07 шорты,M,1
shorts07,07 шорты,L,0
shorts07,07 шорты,XL,1
shorts08,08 шорты,S,0
shorts08,08 шорты,M,1
shorts08,08 шорты,L,0
shorts08,08 шорты,XL,1
shorts09,09 шорты,S,0
shorts09,09 шорты,M,1
shorts09,09 шорты,L,0
shorts09,09 шорты,XL,1
shorts10,10 шорты,S,0
shorts10,10 шорты,M,1
shorts10,10 шорты,L,0
shorts10,10 шорты,XL,1
shorts11,11 шорты,S,0
shorts11,11 шорты,M,1
shorts11,11 шорты,L,0
shorts11,11 шорты,XL,1
